Fill,Beam E,Start T,Stop T,Blue P_0,Blue dP/dT,Yellow P_0,Yellow dP/dT,Yellow dP/dT Error,Yellow P_0 Error,Blue dP/dT Error,Blue P_0 Error,Duration,Yellow P_f,Blue P_f,Yellow P_avg,Blue P_avg
34372,100,2024-04-27 03:58:20,2024-04-27 04:17:31,64.23,-0.18,61.11,-0.04,0.74,3.5,0.54,6.65,1151.0,61.102184709999996,64.193035635,61.106092355,64.21151781750001
34373,100,2024-04-27 04:53:14,2024-04-27 10:19:31,65.01,-2.72,61.23,-0.42,0.44,2.36,0.73,3.04,19577.0,59.831517005,55.39403862666667,60.5307585025,60.20201931333334
34374,100,2024-04-27 10:53:45,2024-04-27 19:46:17,69.02,-0.18,64.55,-0.04,0.74,2.85,0.54,3.8,31952.0,64.32083315555555,67.91733648,64.43541657777777,68.46866824
34375,100,2024-04-27 20:34:14,2024-04-28 04:54:44,66.61,-1.42,61.18,-0.56,0.34,2.03,0.67,4.16,30030.0,58.322078266666665,58.71993448333333,59.751039133333336,62.664967241666666
34376,100,2024-04-28 05:28:31,2024-04-28 16:17:27,60.92,-0.18,64.35,-0.04,0.74,2.93,0.54,3.33,38936.0,64.0716076,59.73400944,64.2108038,60.327004720000005
34379,100,2024-04-28 22:18:46,2024-04-29 03:56:35,59.79,-0.31,56.87,-0.1,0.62,2.78,0.74,3.14,20269.0,56.54980610277777,58.746433644166665,56.709903051388885,59.26821682208333
34380,100,1970-01-01 00:00:00,1970-01-01 00:00:00,61.63,-0.18,68.95,-0.04,0.74,3.79,0.54,3.93,0.0,68.95,61.63,68.95,61.63
34383,100,2024-04-29 06:57:52,2024-04-29 11:50:39,66.16,-1.17,72.39,-1.74,0.71,3.22,1.12,3.76,17567.0,66.243570205,62.382743659999996,69.3167851025,64.27137182999999
34387,100,1970-01-01 00:00:00,1970-01-01 00:00:00,64.04,-0.18,64.19,-0.04,0.74,2.59,0.54,3.95,0.0,64.19,64.04,64.19,64.04
34388,100,2024-04-30 04:03:46,2024-04-30 14:14:20,60.98,-0.26,63.43,-0.4,0.28,2.01,0.58,3.29,36634.0,60.84811708888889,59.36659793555555,62.139058544444445,60.173298967777775
34394,100,1970-01-01 00:00:00,1970-01-01 00:00:00,73.0,-0.18,57.46,-0.04,0.74,5.5,0.54,16.15,0.0,57.46,73.0,57.46,73.0
34395,100,2024-04-30 22:10:59,2024-05-01 06:29:48,67.07,-0.33,63.41,0.13,0.76,4.79,1.55,10.97,29929.0,64.09531590472221,65.22994013916666,63.752657952361105,66.14997006958333
34396,100,2024-05-01 07:35:22,2024-05-01 08:37:47,61.64,-0.18,71.44,-0.04,0.74,6.02,0.54,7.17,3745.0,71.41027302222223,61.5245791,71.4251365111111,61.58228955
34399,100,2024-05-01 10:13:46,2024-05-01 11:51:34,82.49,-0.18,66.0,-0.04,0.74,6.04,0.54,8.16,5868.0,65.956968,82.24797434,65.97848400000001,82.36898717
34403,100,2024-05-01 15:40:02,2024-05-02 02:29:24,62.15,0.36,65.77,-0.17,0.21,2.22,0.27,2.38,38962.0,64.55991603944443,64.5714883,65.1649580197222,63.36074415
34404,100,2024-05-02 03:20:18,2024-05-02 03:20:59,61.66,-0.18,61.94,-0.04,0.74,2.33,0.54,4.56,41.0,61.93971782888889,61.658735969999995,61.93985891444444,61.659367984999996
34405,100,2024-05-02 04:12:28,2024-05-02 04:13:58,65.46,-0.18,60.27,-0.04,0.74,2.2,0.54,2.87,90.0,60.26939730000001,65.4570543,60.26969865000001,65.45852715
34406,100,2024-05-02 06:25:15,2024-05-02 14:31:37,64.9,-0.69,60.43,0.12,0.38,2.11,0.48,2.34,29182.0,61.01782275333334,61.27000238333334,60.72391137666667,63.08500119166668
34408,100,2024-05-02 22:22:09,2024-05-03 06:42:04,74.97,-6.02,65.32,-4.68,0.34,2.3,0.36,2.38,29995.0,39.8494458,37.366318325,52.584722899999996,56.168159162500004
34412,100,2024-05-03 12:43:30,2024-05-03 17:29:03,68.92,-0.89,62.64,-0.39,0.48,2.17,0.77,2.68,17133.0,61.47735462,66.00078427666666,62.05867731,67.46039213833333
34416,100,1970-01-01 00:00:00,1970-01-01 00:00:00,66.78,-0.18,62.41,-0.04,0.74,2.47,0.54,2.83,0.0,62.41,66.78,62.41,66.78
34418,100,2024-05-03 23:07:53,2024-05-04 13:33:42,62.18,-0.18,59.91,-0.04,0.74,3.02,0.54,3.4,51949.0,59.56419282333333,60.56490559,59.73709641166666,61.372452795
34419,100,2024-05-04 14:42:53,2024-05-04 23:38:34,69.04,0.02,63.27,-0.64,0.37,2.83,0.47,3.28,32141.0,59.65478032,69.16327859111112,61.46239016,69.10163929555557
34420,100,2024-05-05 00:27:33,2024-05-05 14:13:40,61.94,-0.18,57.9,0.03,0.25,2.84,0.28,3.18,49567.0,58.139160775,60.40491001,58.0195803875,61.172455005
