Fill,Type,"Beam Energy, GeV",Physics On,Fill Length,Blue Avrg.,Blue Avrg. Error,Blue P_0,Blue P_0 Error,"Blue Slope, %/h","Blue Slope, %/h Error",Yellow Avrg.,Yellow Avrg. Error,Yellow P_0,Yellow P_0 Error,"Yellow Slope, %/h","Yellow Slope, %/h Error",Blue Slope Error,Yellow Slope Error
34346,undef,24.0,,,,,,,,,,,,,,,False,False
34370,undef,24.0,,,,,,,,,,,,,,,False,False
34372,phys,100.0,2024-04-26 23:58:20,,64.35,6.65,64.23,6.65,-0.18,0.54,60.91,3.5,61.11,3.5,-0.04,0.74,True,True
34373,phys,100.0,2024-04-27 00:53:14,19577.0,57.95,3.45,65.01,3.04,-2.72,0.73,59.42,2.61,61.23,2.36,-0.42,0.44,False,False
34374,phys,100.0,2024-04-27 06:53:45,31952.0,69.15,3.8,69.02,3.8,-0.18,0.54,64.34,2.85,64.55,2.85,-0.04,0.74,True,True
34375,phys,100.0,2024-04-27 16:34:14,30030.0,61.77,4.87,66.61,4.16,-1.42,0.67,58.28,2.42,61.18,2.03,-0.56,0.34,False,False
34376,phys,100.0,2024-04-28 01:28:31,38936.0,61.04,3.33,60.92,3.33,-0.18,0.54,64.15,2.93,64.35,2.93,-0.04,0.74,True,True
34378,undef,24.0,,,,,,,,,,,,,,,False,False
34379,phys,100.0,2024-04-28 18:18:46,20269.0,59.81,3.72,59.79,3.14,-0.31,0.74,55.86,3.25,56.87,2.78,-0.1,0.62,False,False
34380,undef,100.0,,,61.75,3.93,61.63,3.93,-0.18,0.54,68.73,3.79,68.95,3.79,-0.04,0.74,True,True
34382,undef,24.0,,,,,,,,,,,,,,,False,False
34383,phys,100.0,2024-04-29 02:57:52,17567.0,62.5,4.51,66.16,3.76,-1.17,1.12,67.26,3.58,72.39,3.22,-1.74,0.71,False,False
34386,undef,24.0,,,,,,,,,,,,,,,False,False
34387,undef,100.0,,,64.16,3.95,64.04,3.95,-0.18,0.54,63.99,2.59,64.19,2.59,-0.04,0.74,True,True
34388,phys,100.0,2024-04-30 00:03:46,36634.0,61.04,4.34,60.98,3.29,-0.26,0.58,61.6,2.41,63.43,2.01,-0.4,0.28,False,False
34393,undef,24.0,,,,,,,,,,,,,,,False,False
34394,undef,100.0,,,73.14,16.15,73.0,16.15,-0.18,0.54,57.27,5.5,57.46,5.5,-0.04,0.74,True,True
34395,phys,100.0,2024-04-30 18:10:59,29929.0,64.1,12.65,67.07,10.97,-0.33,1.55,63.33,5.71,63.41,4.79,0.13,0.76,False,False
34396,phys,100.0,2024-05-01 03:35:22,3745.0,61.76,7.17,61.64,7.17,-0.18,0.54,71.21,6.02,71.44,6.02,-0.04,0.74,True,True
34399,phys,100.0,2024-05-01 06:13:46,5868.0,82.65,8.16,82.49,8.16,-0.18,0.54,65.78,6.04,66.0,6.04,-0.04,0.74,True,True
34403,phys,100.0,2024-05-01 11:40:02,38962.0,65.35,2.8,62.15,2.38,0.36,0.27,65.02,2.48,65.77,2.22,-0.17,0.21,False,False
34404,phys,100.0,2024-05-01 23:20:18,,61.78,4.56,61.66,4.56,-0.18,0.54,61.75,2.33,61.94,2.33,-0.04,0.74,True,True
34405,phys,100.0,2024-05-02 00:12:28,,65.59,2.87,65.46,2.87,-0.18,0.54,60.07,2.2,60.27,2.2,-0.04,0.74,True,True
34406,phys,100.0,2024-05-02 02:25:15,29182.0,62.62,2.99,64.9,2.34,-0.69,0.48,61.3,2.6,60.43,2.11,0.12,0.38,False,False
34408,phys,100.0,2024-05-02 18:22:09,29995.0,48.66,2.48,74.97,2.38,-6.02,0.36,45.57,2.38,65.32,2.3,-4.68,0.34,False,False
34409,undef,24.0,,,,,,,,,,,,,,,False,False
34410,undef,24.0,,,,,,,,,,,,,,,False,False
34411,undef,24.0,,,,,,,,,,,,,,,False,False
34412,phys,100.0,2024-05-03 08:43:30,17133.0,67.11,3.2,68.92,2.68,-0.89,0.77,61.96,2.43,62.64,2.17,-0.39,0.48,False,False
34416,undef,100.0,,,66.9,2.83,66.78,2.83,-0.18,0.54,62.21,2.47,62.41,2.47,-0.04,0.74,True,True
34417,undef,24.0,,,,,,,,,,,,,,,False,False
34418,phys,100.0,2024-05-03 19:07:53,51949.0,62.3,3.4,62.18,3.4,-0.18,0.54,59.72,3.02,59.91,3.02,-0.04,0.74,True,True
34419,phys,100.0,2024-05-04 10:42:53,32141.0,67.7,3.89,69.04,3.28,0.02,0.47,60.46,3.22,63.27,2.83,-0.64,0.37,False,False
34420,phys,100.0,2024-05-04 20:27:33,49567.0,60.01,3.67,61.94,3.18,-0.18,0.28,58.33,3.32,57.9,2.84,0.03,0.25,False,False
34421,phys,100.0,2024-05-05 10:59:25,42215.0,54.24,4.31,52.64,3.64,0.33,0.4,50.39,3.31,51.59,2.92,-0.06,0.27,False,False
34422,phys,100.0,2024-05-06 01:12:50,31623.0,56.71,3.82,56.25,3.24,-0.0,0.48,54.1,3.36,55.31,2.88,0.03,0.4,False,False
34423,phys,100.0,2024-05-06 15:27:51,38048.0,33.81,3.28,33.75,3.28,-0.18,0.54,38.77,3.11,38.89,3.11,-0.04,0.74,True,True
34442,undef,24.0,2024-05-10 15:35:53,25585.0,,,,,,,,,,,,,False,False
34443,phys,100.0,2024-05-11 00:06:24,7526.0,48.63,3.46,46.59,2.78,1.63,1.96,50.71,3.32,48.38,2.77,1.92,1.71,False,False
34444,phys,100.0,2024-05-11 03:04:02,7477.0,51.85,2.55,49.4,2.18,2.73,1.25,47.29,2.97,45.63,2.54,1.25,1.47,False,False
34445,undef,24.0,,,,,,,,,,,,,,,False,False
34446,phys,100.0,2024-05-11 06:41:43,7683.0,40.65,2.86,40.57,2.86,-0.18,0.54,47.13,2.94,47.28,2.94,-0.04,0.74,True,True
34447,phys,100.0,2024-05-11 09:47:23,8253.0,37.4,3.53,37.62,2.98,-0.22,1.72,43.65,2.93,43.62,2.53,-0.31,1.32,False,False
34448,phys,100.0,2024-05-11 12:50:48,11555.0,37.71,3.78,40.3,3.29,-1.42,1.26,46.38,2.96,45.93,2.55,-0.03,0.95,False,False
34449,undef,24.0,,,,,,,,,,,,,,,False,False
34450,phys,100.0,2024-05-11 20:54:53,11449.0,38.08,3.33,37.63,2.73,0.74,1.22,44.47,2.88,43.93,2.46,0.18,0.95,False,False
34451,phys,100.0,2024-05-12 00:48:55,11137.0,41.77,3.31,38.62,2.73,1.68,1.2,45.34,2.93,46.76,2.52,-0.13,0.99,False,False
34452,phys,100.0,2024-05-12 04:39:30,11505.0,40.29,3.09,41.07,2.53,1.45,1.1,44.85,3.15,42.99,2.7,1.15,0.98,False,False
34453,phys,100.0,2024-05-12 08:44:31,11275.0,39.29,2.91,39.38,2.37,0.18,1.1,44.36,3.01,45.27,2.61,-0.67,1.01,False,False
34454,undef,24.0,,,,,,,,,,,,,,,False,False
34455,undef,24.0,,,,,,,,,,,,,,,False,False
34456,phys,100.0,2024-05-12 14:44:23,,,,,,-0.18,0.54,45.28,2.85,45.43,2.85,-0.04,0.74,True,True
34457,undef,24.0,,,,,,,,,,,,,,,False,False
34458,phys,100.0,2024-05-12 16:12:40,28336.0,,,,,-0.18,0.54,41.06,2.61,41.2,2.61,-0.04,0.74,True,True
34460,phys,100.0,2024-05-13 03:52:43,,49.2,2.92,48.8,2.61,0.01,0.46,44.81,2.94,44.88,2.5,0.22,0.53,False,False
34462,undef,24.0,,,,,,,,,,,,,,,False,False
34463,phys,100.0,2024-05-13 11:49:19,9712.0,,,,,-0.18,0.54,49.56,3.03,49.88,2.62,-0.22,1.16,True,False
34464,phys,100.0,2024-05-13 15:16:12,27264.0,52.82,3.66,52.72,3.66,-0.18,0.54,52.63,7.42,52.8,7.42,-0.04,0.74,True,True
